Species,Culture accession number(s),Host name or isolation source,Host Family,Country,Collector,ITS,TEF,ACT,CAL,HIS
Cercospora achyranthis,CBS 132613; CPC 10879,Achyranthes japonica,Amaranthaceae,South Korea: Jeju,H.D. Shin,JX143523,JX143277,JX143031,JX142785,JX142539
Cercospora achyranthis,CPC 10091,Achyranthes japonica,Amaranthaceae,South Korea: Jeju,H.D. Shin,JX143524,JX143278,JX143032,JX142786,JX142540
Cercospora agavicola,CBS 117292; CPC 11774 (TYPE),Agave tequilana var. azul,Agavaceae,Mexico: Penjamo,V. Ayala-Escobar & Ma. de Jesús Yáñez-Morales,AY647237,AY966897,AY966898,AY966899,AY966900
Cercospora alchemillicola,CPC 5259 (TYPE),Alchemilla mollis,Rosaceae,New Zealand: Auckland,C.F. Hill,JX143525,JX143279,JX143033,JX142787,JX142541
Cercospora cf. alchemillicola,CPC 5126,Oenothera fruticosa,Onagraceae,New Zealand: Auckland,C.F. Hill,JX143526,JX143280,JX143034,JX142788,JX142542
Cercospora cf. alchemillicola,CPC 5127,Gaura lindheimeri,Onagraceae,New Zealand: Auckland,C.F. Hill,JX143527,JX143281,JX143035,JX142789,JX142543
Cercospora althaeina,CBS 126.26; CPC 5066,Malvasp.,Malvaceae,–,C. Killian,JX143528,JX143282,JX143036,JX142790,JX142544
Cercospora althaeina,CBS 132609; CPC 10790,Althaea rosea,Malvaceae,South Korea: Suwon,H.D. Shin,JX143529,JX143283,JX143037,JX142791,JX142545
Cercospora althaeina,CBS 248.67; CPC 5117 (TYPE),Althaea rosea,Malvaceae,Romania: Fundulea,O. Constantinescu,JX143530,JX143284,JX143038,JX142792,JX142546
Cercospora apii,CBS 110813; CPC 5110; 01-3,Moluccella laevis,Lamiaceae,USA: California,S.T. Koike,AY156918,DQ233345,DQ233371,DQ233397,DQ233423
Cercospora apii,CBS 110816; CPC 5111; 01-4,Moluccella laevis,Lamiaceae,USA: California,S.T. Koike,AY156919,DQ233346,DQ233372,DQ233398,DQ233424
Cercospora apii,CBS 114416; CPC 10925,Apiumsp.,Apiaceae,Austria,Institut fur Pflanzengesundheit,AY840516,AY840483,AY840447,AY840414,AY840381
Cercospora apii,CBS 114418; CPC 10924,Apium graveolens,Apiaceae,Italy,M. Meutri,AY840517,AY840484,AY840448,AY840415,AY840382
Cercospora apii,CBS 114485; CPC 10923,Apium graveolens,Apiaceae,Italy,M. Meutri,AY840518,AY840485,AY840449,AY840416,AY840383
Cercospora apii,CBS 116455; CPC 11556 (TYPE),Apium graveolens,Apiaceae,Germany: Heilbron,K. Schrameyer,AY840519,AY840486,AY840450,AY840417,AY840384
Cercospora apii,CBS 116504; CPC 11579,Apium graveolens,Apiaceae,Germany: Heilbron,K. Schrameyer,AY840520,AY840487,AY840451,AY840418,AY840385
Cercospora apii,CBS 116507; CPC 11582,Apium graveolens,Apiaceae,Germany: Heilbron,K. Schrameyer,AY840521,AY840488,AY840452,AY840419,AY840386
Cercospora apii,CBS 119.25; B 42463; IHEM 3822; CPC 5086,Apium graveolens,Apiaceae,–,L. J. Klotz,AY179949,AY179915,AY840443,AY840410,AY840377
Cercospora apii,CBS 121.31; CPC 5073,Beta vulgaris,Chenopodiaceae,Austria: Wien,E.W. Schmidt,AY343371,AY343334,AY840444,AY840411,AY840378
Cercospora apii,CBS 127.31; CPC 5119,Beta vulgaris,Chenopodiaceae,Hungary,E.W. Schmidt,AY840514,AY840481,AY840445,AY840412,AY840379
Cercospora apii,CBS 132683; CPC 16663,Moluccella laevis,Lamiaceae,Zimbabwe,S. Dimbi,JX143531,JX143285,JX143039,JX142793,JX142547
Cercospora apii,CBS 152.52; IMI 077043; MUCL 16495; CPC 5063,Beta vulgaris,Chenopodiaceae,Netherlands: Bergen op Zoom,G. van den Ende,AY840515,AY840482,AY840446,AY840413,AY840380
Cercospora apii,CBS 252.67; CPC 5084,Plantago lanceolata,Plantaginaceae,Romania: Domnesti,O. Constantinescu,DQ233318,DQ233342,DQ233368,DQ233394,DQ233420
Cercospora apii,CBS 536.71; CPC 5087,Apium graveolens,Apiaceae,Romania: Bucuresti,O. Constantinescu,AY752133,AY752166,AY752194,AY752225,AY752256
Cercospora apii,CBS 553.71; IMI 161116; CPC 5083,Plumbago europaea,Plumbaginaceae,Romania: Hagieni,O. Constantinescu,DQ233320,DQ233344,DQ233370,DQ233396,DQ233422
Cercospora apii,CPC 18601,Apium graveolens,Apiaceae,USA: California,S.T. Koike,JX143532,JX143286,JX143040,JX142794,JX142548
Cercospora apii,CPC 5112,Moluccella laevis,Lamiaceae,New Zealand: Auckland,C.F. Hill,DQ233321,DQ233347,DQ233373,DQ233399,DQ233425
Cercospora apii,CPC 5260,Glebionis coronaria(≡Chrysanthemum coronarium),Asteraceae,New Zealand: Auckland,C.F. Hill,JX143533,JX143287,JX143041,JX142795,JX142549
Cercospora apii,MUCC 567; MUCNS 30; MAFF 238072,Apium graveolens,Apiaceae,Japan: Aichi,T. Kobayashi,JX143534,JX143288,JX143042,JX142796,JX142550
Cercospora apii,MUCC 573; MAFF 235978,Glebionis coronaria(≡Chrysanthemum coronarium),Asteraceae,Japan: Hokkaido,–,JX143535,JX143289,JX143043,JX142797,JX142551
Cercospora apii,MUCC 593,Apium graveolens,Apiaceae,Japan: Shizuoka,M. Togawa,JX143536,JX143290,JX143044,JX142798,JX142552
Cercospora apii,MUCC 923; MAFF 238299,Asparagus officinalis,Asparagaceae,Japan: Saga,J. Yamaguchi,JX143537,JX143291,JX143045,JX142799,JX142553
Cercospora apiicola,CBS 116457; CPC 10267 (TYPE),Apiumsp.,Apiaceae,Venezuela: Caripe,N. Pons,AY840536,AY840503,AY840467,AY840434,AY840401
Cercospora apiicola,CBS 116458; CPC 10657,Apium graveolens,Apiaceae,South Korea: Kangnung,H.D. Shin,AY840537,AY840504,AY840468,AY840435,AY840402
Cercospora apiicola,CBS 132644; CPC 10248,Apiumsp.,Apiaceae,Venezuela: Caripe,N. Pons,AY840539,AY840506,AY840470,AY840437,AY840404
Cercospora apiicola,CBS 132651; CPC 10759,Apium graveolens,Apiaceae,South Korea: Namyangju,H.D. Shin,AY840544,AY840511,AY840475,AY840442,AY840409
Cercospora apiicola,CBS 132666; CPC 11642; GRE-4-2,Apiumsp.,Apiaceae,Greece,I. Vloutoglou,DQ233341,DQ233367,DQ233393,DQ233419,DQ233441
Cercospora apiicola,CPC 10220,Apiumsp.,Apiaceae,Venezuela: Caripe,N. Pons,AY840538,AY840505,AY840469,AY840436,AY840403
Cercospora apiicola,CPC 10265,Apiumsp.,Apiaceae,Venezuela: Caripe,N. Pons,AY840540,AY840507,AY840471,AY840438,AY840405
Cercospora apiicola,CPC 10266,Apiumsp.,Apiaceae,Venezuela: Caripe,N. Pons,AY840541,AY840508,AY840472,AY840439,AY840406
Cercospora apiicola,CPC 10279,Apiumsp.,Apiaceae,Venezuela: Caripe,N. Pons,AY840542,AY840509,AY840473,AY840440,AY840407
Cercospora apiicola,CPC 10666,Apiumsp.,Apiaceae,South Korea: Kangnung,H.D. Shin,AY840543,AY840510,AY840474,AY840441,AY840408
Cercospora apiicola,CPC 11641; GRE-3-2,Apiumsp.,Apiaceae,Greece,I. Vloutoglou,DQ233340,DQ233366,DQ233392,DQ233418,DQ233440
Cercospora armoraciae,CBS 115060; CPC 5366,Gaurasp.,Onagraceae,New Zealand,C.F. Hill,JX143538,JX143292,JX143046,JX142800,JX142554
Cercospora armoraciae,CBS 115394; CPC 5261,Nasturtium officinale(=Rorippa nasturtium-aquaticum),Brassicaceae,New Zealand: Auckland,C.F. Hill,JX143539,JX143293,JX143047,JX142801,JX142555
Cercospora armoraciae,CBS 115409; CPC 5359,Armoracia rusticana(=A. lapathifolia),Brassicaceae,New Zealand: Manurewa,C.F. Hill,JX143540,JX143294,JX143048,JX142802,JX142556
Cercospora armoraciae,CBS 132610; CPC 10811,Armoracia rusticana(=A. lapathifolia),Brassicaceae,South Korea: Suwon,H.D. Shin,JX143541,JX143295,JX143049,JX142803,JX142557
Cercospora armoraciae,CBS 132638; CPC 10100,Barbarea orthoceras,Brassicaceae,South Korea: Pocheon,H.D. Shin,JX143542,JX143296,JX143050,JX142804,JX142558
Cercospora armoraciae,CBS 132654; CPC 11338,Turritis glabra(≡Arabis glabra),Brassicaceae,South Korea: Hoengseong,H.D. Shin,JX143543,JX143297,JX143051,JX142805,JX142559
Cercospora armoraciae,CBS 132672; CPC 14612,Rorippa indica,Brassicaceae,South Korea: Jecheon,H.D. Shin,JX143544,JX143298,JX143052,JX142806,JX142560
Cercospora armoraciae,CBS 250.67; CPC 5088 (TYPE),Armoracia rusticana(=A. lapathifolia),Brassicaceae,Romania: Fundulea,O. Constantinescu,JX143545,JX143299,JX143053,JX142807,JX142561
Cercospora armoraciae,CBS 258.67; CPC 5061,Cardaria draba,Brassicaceae,Romania: Fundulea,O. Constantinescu,JX143546,JX143300,JX143054,JX142808,JX142562
Cercospora armoraciae,CBS 538.71; IMI 161109; CPC 5090,Berteroa incana,Brassicaceae,Romania: Hagieni,O. Constantinescu,JX143547,JX143301,JX143055,JX142809,JX142563
Cercospora armoraciae,CBS 540.71; IMI 161110; CPC 5060,Cardaria draba,Brassicaceae,Romania: Hagieni,O. Constantinescu,JX143548,JX143302,JX143056,JX142810,JX142564
Cercospora armoraciae,CBS 545.71; CPC 5056,Erysimum cuspidatum,Brassicaceae,Romania: Valea Mraconiei,O. Constantinescu,JX143549,JX143303,JX143057,JX142811,JX142565
Cercospora armoraciae,CBS 555.71; IMI 161117; CPC 5082,Coronilla varia,Fabaceae,Romania: Hagieni,O. Constantinescu,JX143550,JX143304,JX143058,JX142812,JX142566
Cercospora armoraciae,CPC 10133,Rorippa indica,Brassicaceae,South Korea: Wonju,H.D. Shin,JX143551,JX143305,JX143059,JX142813,JX142567
Cercospora armoraciae,CPC 11364,Turritis glabra(≡Arabis glabra),Brassicaceae,South Korea: Hoengseong,H.D. Shin,JX143552,JX143306,JX143060,JX142814,JX142568
Cercospora armoraciae,CPC 11530,Acacia mangium,Fabaceae,Thailand,W. Himaman,JX143553,JX143307,JX143061,JX142815,JX142569
